timestamp(ms),rx1 ,rx2 ,rx3 ,rx4 ,rx5 ,rx6 ,rx7 ,rx8 ,
"1712614901.531","1460","1068","1460","1468","1048","1420",,,
"1712614901.532",,,,,,,"1604","1508",
"1712614901.553","1460","1064","1464","1468","1048","1416",,,
"1712614901.554",,,,,,,"1608","1508",
"1712614901.574","1460",,,,,,,,
"1712614901.575",,"1064","1464","1464","1052",,,,
"1712614901.576",,,,,,"1420","1604","1508",
"1712614901.597","1456",,,,,,,,
"1712614901.598",,"1068","1464","1464","1048","1420","1608","1508",
"1712614901.619","1456","1068","1464",,,,,,
"1712614901.62",,,,"1464","1048","1420","1604",,
"1712614901.621",,,,,,,,"1512",
"1712614901.642","1460","1064","1464","1464","1052","1416",,,
"1712614901.643",,,,,,,"1608","1508",
"1712614901.664","1460","1068","1460","1468","1048",,,,
"1712614901.665",,,,,,"1420","1604","1508",
"1712614901.69","1460","1064","1464","1468","1048","1416","1608","1508",
"1712614901.708","1460","1064","1464",,,,,,
"1712614901.709",,,,"1464","1052","1416","1608","1508",
"1712614901.73","1460",,,,,,,,
"1712614901.731",,"1068","1464","1464","1048","1420","1608",,
"1712614901.732",,,,,,,,"1508",
"1712614901.753","1460","1068","1464","1464","1048",,,,
"1712614901.754",,,,,,"1420","1604","1512",
"1712614901.775","1460","1064","1464","1464",,,,,
"1712614901.776",,,,,"1052","1416","1608","1508",
"1712614901.797","1460","1068",,,,,,,
"1712614901.798",,,"1460","1468","1048","1420","1604","1512",
"1712614901.818","1460",,,,,,,,
"1712614901.819",,"1064","1464","1464",,,,,
"1712614901.82",,,,,"1052","1416","1608",,
"1712614901.821",,,,,,,,"1508",
"1712614901.841","1460",,,,,,,,
"1712614901.842",,"1068","1460","1468","1048","1416",,,
"1712614901.843",,,,,,,"1608","1508",
"1712614901.864","1456","1068","1464","1464","1048",,,,
"1712614901.865",,,,,,"1420","1604","1512",
"1712614901.886","1460","1068","1464",,,,,,
"1712614901.887",,,,"1464","1048","1420","1604","1512",
"1712614901.908","1460","1068",,,,,,,
"1712614901.909",,,"1460","1468","1048","1416","1608",,
"1712614901.91",,,,,,,,"1508",
"1712614901.929","1456",,,,,,,,
"1712614901.93",,"1068","1464",,,,,,
"1712614901.931",,,,"1468","1044","1420","1608",,
"1712614901.932",,,,,,,,"1508",
"1712614901.952","1460",,,,,,,,
